,Acceptance,Asking price,Asking price per m²,Bathroom facilities,Building type,Energy label,Exterior space attached to the building,Facilities,Garden,Heating,Hot water,Insulation,Kind of house,Listed since,Living area,Location,Number of bath rooms,Number of rooms,Number of stories,Plot size,Specific,Status,Type of parking facilities,Type of roof,Volume in cubic meters,Year of construction,url,Annual meeting,Balcony/roof garden,Building insurance,CH boiler,External storage space,Located at,Maintenance plan,Periodic contribution,Provisional energy label,Registration with KvK,Reserve fund present,Shed / storage,Type apartment,VVE (Owners Association) contribution,Quality marks,Service charges,Type of garage,Other space inside the building,Garden location,Back garden
1653,Available in consultation,400000,4819,,Resale,,1,Electricity and running water,,District heating,District heating,"Roof insulation, double glazing, energy efficient window, insulated walls and floor insulation",,"March 10, 2022",83,"In residential district, freestanding location and unobstructed surrounding view",1 separate toilet,"4  ,3 ",1,,,Available,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,271,2007,https://www.funda.nl/en/koop/amsterdam/appartement-42636492-julius-pergerstraat-103,Yes,Roof terrace present and balcony present,Yes,,,6 ,Yes,Yes (€ 99.00 per month),A ,Yes,Yes,Built-in,Upstairs apartment (apartment), 99.00  ,,,,8 ,,
1654,Available in consultation,725000,12719,,Resale,E  ,6,Mechanical ventilation,Back garden,CH boiler,,,,4 ,57,,1 separate toilet,"6  ,4 ",2,,,Available,"Paid parking, public parking and resident's parking permits",Combination roof,404,1922,https://www.funda.nl/en/koop/amsterdam/appartement-42600979-tweede-van-der-helststraat-97-hs,Yes,,Yes,Remeha Avanta (gas-fired combination boiler from 2014),3,Grou ,Yes,Yes (€ 133.50 per month),,Yes,Yes,,Ground-floor apartment (apartment), 133.50  ,,,,56 ,,
1655,Available immediately,425000,7203,Shower and toilet,Resale,C 1.88  ,,Electricity,Back garden,CH boiler,CH boiler,Double glazing,,"March 3, 2022",59,Alongside a quiet road and in residential district,1 bathroom,"2  ,1 ",1,,,Available,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,148,1986,https://www.funda.nl/en/koop/amsterdam/appartement-42628351-van-beuningenstraat-48-a,Yes,,Yes,"Intergas (gas-fired combination boiler from 2021, in ownership)",4,Grou ,Yes,Yes (€ 81.69 per month),,Yes,Yes,Attached brick storage,Ground-floor apartment (apartment), 81.69  ,Energie Prestatie Advies,,,,Located at the northwest accessible via the rear,"33 m² (6,49 meter deep and 5,96 meter broad)"
1656,Available in consultation,1300000,8075,Shower,Resale,Not required,7,Passive ventilation system and solar panels,Location,CH boiler,CH boiler,No insulation,"Single-family home, row house",4 ,161,"7 m² (2,35 meter deep and 3 meter broad)",1 bathroom and 2 separate toilets,"4  ,2 ",4,89,Listed building (national monument),Sold under reservation,Paid parking and resident's parking permits,Combination roof covered with asphalt roofing and roof tiles,550,1750,https://www.funda.nl/en/koop/amsterdam/huis-42605863-bickersgracht-220,,Roof terrace present,,"Intergas (gas-fired combination boiler from 2021, in ownership)",,,,,,,,,,,Bouwkundige keuring,,,29 ,Located at the east accessible via the rear,
1657,Available in consultation,349999,4605,Shower,Resale,B  ,10,Electricity,,CH boiler,CH boiler,"Roof insulation, double glazing, insulated walls, floor insulation and completely insulated",,4 ,76,"Alongside park, alongside water, freestanding location and unobstructed surrounding view",1 bathroom and 1 separate toilet,"2  ,1 ",1,,,Sold under reservation,Parking on gated property and parking garage,Flat roof covered with asphalt roofing,241,2004,https://www.funda.nl/en/koop/amsterdam/appartement-42600072-p-hans-frankfurthersingel-136-pp,Yes,Balcony present,Yes,"Intergas (gas-fired combination boiler from 2004, in ownership)",4,3 ,Yes,Yes (€ 138.84 per month),,Yes,Yes,Built-in,Upstairs apartment, 138.84  ,,,Parking place,,,
1658,Available in consultation,550000,6790,Bath and toilet,Resale,F  ,7,Skylight and TV via cable,,CH boiler,CH boiler,Double glazing,,6+ ,81,"Alongside a quiet road, in residential district and unobstructed surrounding view",1 bathroom,"5  ,3 ",4,,,Sold under reservation,Resident's parking permits,Gable roof covered with roof tiles,284,,https://www.funda.nl/en/koop/amsterdam/appartement-41206929-antillenstraat-25-iii,Yes,Balcony present,Yes,"Remeha Avanta (gas-fired combination boiler from 2010, in ownership)",,4 ,Yes,Yes (€ 87.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 87.00  ,, 87  ,,,,
1659,Available in consultation,850000,9444,Bath,Resale,,,,Back garden,CH boiler and fireplace,CH boiler,Double glazing,,2 ,90,"Alongside a quiet road, on navigable waterway, alongside water, in center and unobstructed surrounding view",1 bathroom and 1 separate toilet,"2  ,1 ",2,,Monumental building,Available,Public parking,Flat roof covered with asphalt roofing,338,1891,https://www.funda.nl/en/koop/amsterdam/appartement-88072055-nieuwe-prinsengracht-56-h,Yes,,Yes,"Combiketel (gas-fired combination boiler, in ownership)",,1 ,Yes,Yes (€ 100.00 per month),G ,Yes,Yes,Built-in,Double ground-floor apartment (apartment), 100.00  ,,,,8 ,Located at the south accessible via the rear,"41 m² (7,5 meter deep and 5,5 meter broad)"
1660,Available in consultation,1500000,14151,Bath and shower,Resale,,,Alarm installation and mechanical ventilation,,"CH boiler, fireplace and partial floor heating",CH boiler,Double glazing,,2 ,106,On navigable waterway and in center,1 bathroom and 1 separate toilet,"3  ,1 ",1,,,Available,Paid parking and resident's parking permits,,333,1770,https://www.funda.nl/en/koop/amsterdam/appartement-42679473-herengracht-242-b,Yes,,Yes,Combination boiler from 2019,,2 ,Yes,Yes (€ 300.00 per month),,Yes,Yes,,Upstairs apartment, 300.00  ,,,,,,
1661,Available in consultation,275000,8871,Shower and toilet,Resale,C  ,,,,CH boiler,CH boiler,Double glazing,,3 ,31,,1 bathroom,"2  ,1 ",1,,,Under offer,,,100,1906,https://www.funda.nl/en/koop/amsterdam/appartement-42603535-kinkerstraat-43-1-v,Yes,,Yes,"Gas-fired combination boiler from 2008, in ownership",,2 ,Yes,Yes,,Yes,Yes,,Upstairs apartment (apartment),,, 111  ,,,,
1662,Available in consultation,450000,7759,Hipbath,Resale,D  ,,Passive ventilation system and TV via cable,Back garden,CH boiler,CH boiler,Partly double glazed,,6 ,58,"Alongside a quiet road, sheltered location and in residential district",1 bathroom and 1 separate toilet,"2  ,1 ",1,,,Sold under reservation,"Paid parking, public parking and resident's parking permits",,213,1934,https://www.funda.nl/en/koop/amsterdam/appartement-42683670-vechtstraat-121-h,Yes,,Yes,"Remeha (2021, in ownership)",9,Grou ,No,Yes (€ 169.39 per month),,Yes,Yes,Detached wooden storage,Ground-floor apartment (apartment), 169.39  ,,,,,,66 m² (11 meter deep and 6 meter broad)
1663,Available in consultation,399500,4645,,Resale,C  ,12,Electricity,,CH boiler,CH boiler,"Roof insulation, double glazing, insulated walls and floor insulation",,"March 9, 2022",86,"Alongside a quiet road, in residential district, freestanding location and unobstructed surrounding view",1 bathroom and 1 separate toilet,"4  ,2 ",1,,,Available,Paid parking,Flat roof covered with asphalt roofing,266,1998,https://www.funda.nl/en/koop/amsterdam/appartement-42635922-osdorpplein-75,Yes,Balcony present,Yes,"2014, in ownership",,4 ,Yes,Yes (€ 165.00 per month),,Yes,Yes,Storage box,Upstairs apartment (apartment), 165.00  ,,,,,,
1664,Available in consultation,650000,8125,2 showers and toilet,Resale,C  ,,Mechanical ventilation,Back garden,CH boiler,CH boiler,"Roof insulation, double glazing, insulated walls, floor insulation and completely insulated",,3 ,80,Alongside a quiet road and in residential district,2 bathrooms and 1 separate toilet,"3  ,2 ",1,,,Under offer,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,291,1929,https://www.funda.nl/en/koop/amsterdam/appartement-42604324-marco-polostraat-96-hs,Yes,,Yes,"Gas-fired from 2021, in ownership",,Grou ,Yes,Yes (€ 106.65 per month),,Yes,Yes,,Ground-floor apartment (apartment), 106.65  ,, 107  ,,,Located at the south,"35 m² (7,4 meter deep and 4,7 meter broad)"
1665,Available in consultation,575000,9583,Bath and shower,Resale,A  ,,Mechanical ventilation,Back garden,CH boiler,CH boiler,Double glazing and floor insulation,,2 ,60,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"2  ,1 ",1,,,Sold under reservation,,,223,1906,https://www.funda.nl/en/koop/amsterdam/appartement-42670678-pieter-baststraat-18-hs,Yes,,Yes,"Gas-fired combination boiler, in ownership",,Grou ,No,No,,Yes,No,,Ground-floor apartment (apartment), 150.00  ,,,,,Located at the southwest,"6 m² (1,5 meter deep and 4 meter broad)"
1666,Available in consultation,760000,5758,,Resale,A  ,6,Electricity,,CH boiler,Central facility,"Roof insulation, double glazing and insulated walls",,2 ,132,Alongside a quiet road and in residential district,1 separate toilet,"5  ,4 ",1,,,Available,Public parking,Gable roof covered with roof tiles,465,1962,https://www.funda.nl/en/koop/amsterdam/appartement-88020865-zuid-hollandstraat-150-3,Yes,,Yes,,9,3 ,Yes,Yes (€ 193.34 per month),,Yes,Yes,Storage box,Upstairs apartment (double upstairs apartment), 193.34  ,, 192  ,,,,
1667,Available in consultation,2395000,13531,Bath and toilet,Resale,,18,"Smart home, elevator, mechanical ventilation and sliding door",,CH boiler,CH boiler,,,"March 8, 2022",177,"Alongside water, in center, in residential district and unobstructed surrounding view",2 bathrooms and 1 separate toilet,"4  ,3 ",1,,,Available,,,556,2021,https://www.funda.nl/en/koop/amsterdam/appartement-42623571-amsteldijk-58-l-pp,No,,No,In ownership,,5 ,No,No,,No,No,Built-in,Penthouse (apartment),,Woningborg garantiecertificaat,,Not yet present but possible,,,
1668,Available in consultation,375000,5859,Shower,Resale,C  ,,Elevator and TV via cable,,CH boiler,CH boiler,No insulation,,2 ,64,Alongside busy road and in residential district,1 bathroom and 1 separate toilet,"2  ,1 ",5,,,Sold under reservation,,Flat roof covered with asphalt roofing,215,1981,https://www.funda.nl/en/koop/amsterdam/appartement-42650680-insulindeweg-474,Yes,Balcony present,Yes,"Gas-fired, in ownership",4,5 ,Yes,Yes (€ 146.00 per month),,Yes,Yes,Storage box,Upstairs apartment (apartment), 146.00  ,,,,,,
1669,Available in consultation,395000,8229,,Resale,D  ,,Mechanical ventilation,,CH boiler,CH boiler,Double glazing,,7 ,48,In residential district,,"2  ,1 ",1,,,Under offer,Paid parking and resident's parking permits,,153,1891,https://www.funda.nl/en/koop/amsterdam/appartement-88044186-albert-cuypstraat-200-1,No,,Yes,"Atag (gas-fired combination boiler from 2010, in ownership)",,1 ,No,Yes (€ 90.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 90.00  ,,,,,,
1670,Available immediately,435000,4104,,Resale,A  ,,Electricity,Back garden and front garden,CH boiler,CH boiler,"Double glazing, insulated walls and floor insulation","Single-family home, corner house",6 ,106,"Alongside park, alongside a quiet road and in residential district",1 separate toilet,"4  ,3 ",3,148,,Sold under reservation,Public parking,Gable roof covered with roof tiles,280,1981,https://www.funda.nl/en/koop/amsterdam/huis-88051178-mijehof-53,,,,"Vaillant HR (gas-fired combination boiler from 2015, in ownership)",6,,,,,,,Detached brick storage,,,,,,,Located at the southeast accessible via the rear,"57 m² (11 meter deep and 5,2 meter broad)"
1671,Available in consultation,2100000,7581,"Sauna, bath, shower and 2 toilets",Resale,B  ,14,"Mechanical ventilation, sauna and solar panels",Back garden,"Electric heating, wood heater and partial floor heating",Electrical boiler,"Roof insulation, double glazing and floor insulation",,7 ,277,Alongside busy road and in residential district,4 bathrooms and 2 separate toilets,"13  ,10 ",5,,Partly rented,Sold under reservation,Public parking,Flat roof covered with asphalt roofing,875,1938,https://www.funda.nl/en/koop/amsterdam/appartement-42687114-middenweg-171-a-b,No,Balcony present,No,,,Grou ,No,No,,No,No,Built-in,Ground-floor + upstairs apartment (apartment),,,,,,Located at the east,"57 m² (9,5 meter deep and 6 meter broad)"
1672,Available in consultation,600000,5000,Shower and toilet,Resale,C  ,,Electricity,Back garden and front garden,CH boiler,CH boiler,,"Single-family home, corner house",3 ,120,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"6  ,5 ",3,139,,Under offer,Parking on private property and public parking,Gable roof covered with roof tiles,410,1990,https://www.funda.nl/en/koop/amsterdam/huis-42603161-krasseurstraat-247,,,,"Intergas (gas-fired combination boiler from 2019, in ownership)",4,,,,,,,Detached brick storage,,,,,,,Located at the west accessible via the rear,"43 m² (8,5 meter deep and 5 meter broad)"
1674,Available in consultation,325000,7738,Shower and toilet,Resale,C  ,3,TV via cable,,CH boiler,CH boiler,Double glazing,,7 ,42,Alongside a quiet road and in center,1 bathroom,"2  ,1 ",1,,,Sold under reservation,,,144,1960,https://www.funda.nl/en/koop/amsterdam/appartement-42687985-fokke-simonszstraat-58-a,Yes,Balcony present,Yes,"Intergas Kompakt HRE (gas-fired combination boiler from 2012, in ownership)",,1 ,Yes,Yes (€ 117.01 per month),,Yes,Yes,,Upstairs apartment (apartment), 117.01  ,,,,,,
1675,Available in consultation,425000,6159,,Resale,C  ,4,Mechanical ventilation and TV via cable,,CH boiler,CH boiler,Double glazing,,5 ,69,"Alongside a quiet road, sheltered location, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"4  ,3 ",1,,,Sold under reservation,Paid parking and resident's parking permits,Flat roof,219,1982,https://www.funda.nl/en/koop/amsterdam/appartement-42692105-menadostraat-17-b,Yes,Balcony present,Yes,"Intergas (gas-fired from 2020, in ownership)",8,2 ,Yes,Yes,,Yes,Yes,Storage box,Upstairs apartment (apartment),,, 102  ,,,,
1677,Available in consultation,435000,5179,Shower and toilet,Resale,A+  ,12,"Elevator, mechanical ventilation, passive ventilation system and TV via cable",,CH boiler,CH boiler,"Roof insulation, double glazing, insulated walls and floor insulation",,2 ,84,"Alongside a quiet road, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"2  ,1 ",1,,,Sold under reservation,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,254,2003,https://www.funda.nl/en/koop/amsterdam/appartement-42678031-jacques-veltmanstraat-193,Yes,Balcony present,Yes,"Intergas KK HR 22 (gas-fired combination boiler from 2003, in ownership)",,5 ,Yes,Yes (€ 136.55 per month),,Yes,Yes,Storage box,Upstairs apartment (apartment), 136.55  ,,,,,,
1678,Available in consultation,1199975,9524,,New,,5,,,,,,,4 ,126,"In center, in residential district and unobstructed surrounding view",,"3  ,2 ",1,,,Available,,,378,2021,https://www.funda.nl/en/koop/amsterdam/appartement-42500984-ode-apartments-type-x-bouwnummer-5-bouwnr-5,,,,,7,1 ,,,A ,,,Storage box,Mezzanine (apartment),,, 293  ,Underground parking and parking place,,,
1679,Available in consultation,7850000,10129,"Steam cabin, bath, 5 showers and 5 toilets",Resale,,31,"Electrical door, electricity, heating and running water",Sun terrace,CH boiler,CH boiler,"Roof insulation, insulated walls and floor insulation","Property alongside canal, row house","March 1, 2022",775,"On navigable waterway, alongside water and in center",5 bathrooms and 2 separate toilets,"11  ,6 ",4,251,,Available,Paid parking,,2456,1650,https://www.funda.nl/en/koop/amsterdam/huis-42694487-prinsengracht-278-7pp,,Roof terrace present,,,,,,,,,,Built-in,,,,,Built-in,,,
1680,Available in consultation,260000,3250,Shower,Resale,C 1.69  ,11,Electricity,,Communal central heating,Central facility,Double glazing,,4 ,80,"Alongside a quiet road, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Sold under reservation,Public parking,Flat roof covered with asphalt roofing,218,1970,https://www.funda.nl/en/koop/amsterdam/appartement-42590633-kikkenstein-3249,Yes,Balcony present,Yes,,4,3 ,Yes,Yes (€ 297.05 per month),,Yes,Yes,Storage box,Galleried apartment (apartment), 297.05  ,Energie Prestatie Advies,,,,,
1681,Available in consultation,340000,7556,Shower and toilet,Resale,G  ,,,,CH boiler,CH boiler,Double glazing,,3 ,45,Alongside a quiet road and in residential district,1 bathroom,"3  ,2 ",1,,Protected townscape or village view (permit needed for alterations),Sold under reservation,"Paid parking, public parking and resident's parking permits",Flat roof,155,1923,https://www.funda.nl/en/koop/amsterdam/appartement-42609772-cornelis-springerstraat-8-4,Yes,,Yes,Intergas (gas-fired from 2015),,5 ,Yes,Yes (€ 157.99 per month),,Yes,Yes,,Upstairs apartment (apartment), 157.99  ,,,,1 ,,
1682,Available in consultation,365000,4244,,Resale,A  ,8,Electricity,,CH boiler,CH boiler,"Roof insulation, double glazing and floor insulation",,"March 4, 2022",86,"Alongside busy road, in center and in residential district",1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Available,Paid parking and public parking,Flat roof covered with asphalt roofing,225,2004,https://www.funda.nl/en/koop/amsterdam/appartement-88084372-willem-baerdesenstraat-46,Yes,Balcony present,Yes,"Remeha (gas-fired from 2019, in ownership)",,3 ,Yes,Yes (€ 166.75 per month),,Yes,Yes,Storage box,Apartment with shared street entrance (apartment), 166.75  ,Energie Prestatie Advies,,,4 ,,
1683,Available in consultation,450000,4787,,Resale,A  ,,Electricity,,District heating,District heating,Completely insulated,,5 ,94,In residential district,1 bathroom and 1 separate toilet,"4  ,3 ",1,,,Sold under reservation,"Paid parking, public parking and resident's parking permits",Flat roof,302,2006,https://www.funda.nl/en/koop/amsterdam/appartement-42692161-ijburglaan-1013,Yes,,Yes,,5,3 ,Yes,Yes (€ 137.28 per month),,Yes,Yes,Storage box,Galleried apartment (apartment), 137.28  ,,,,,,
1684,Available in consultation,310200,4496,Shower and toilet,New,,,,,,District heating,Completely insulated,,6+ ,69,"On navigable waterway, alongside water, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"4  ,2 ",2,,,Sold under reservation,Parking garage,Flat roof covered with asphalt roofing and other,230,2022,https://www.funda.nl/en/koop/amsterdam/appartement-41004474-muiderlaan-bouwnr-ww-01,,,,,,Grou ,,,A ,,,Built-in,Ground-floor apartment (apartment),,,,,,,
1685,Available in consultation,420000,8750,Shower,Resale,F 2.86  ,7,Mechanical ventilation and TV via cable,,CH boiler,CH boiler,"Roof insulation, double glazing, insulated walls and floor insulation",,5 ,48,"Alongside busy road, in center and in residential district",1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Sold under reservation,Paid parking and resident's parking permits,Gable roof covered with roof tiles,150,1899,https://www.funda.nl/en/koop/amsterdam/appartement-42551556-jan-pieter-heijestraat-139-1,Yes,Balcony present and french balcony present,Yes,"Intergas 28/24 (gas-fired combination boiler from 2021, in ownership)",,1 ,Yes,Yes,,Yes,Yes,,Upstairs apartment (apartment),,Energie Prestatie Advies,,,,,
1686,Available in consultation,940000,6395,"Bath, 2 showers and toilet",Resale,A  ,,,Back garden and front garden,Heat pump,,,,4 ,147,Alongside a quiet road and in residential district,2 bathrooms and 2 separate toilets,"4  ,3 ",2,,,Available,Parking garage,,441,2020,https://www.funda.nl/en/koop/amsterdam/appartement-88060735-bottelarijstraat-41,No,,No,,4,,No,No,,No,No,Built-in,Double ground-floor apartment,,,,,,Located at the north,"21 m² (4,2 meter deep and 5 meter broad)"
1687,Available in consultation,995000,7960,Bath,Resale,D  ,33,Air conditioning,,CH boiler,CH boiler,Double glazing,,5 ,125,"Alongside water, freestanding location and unobstructed surrounding view",1 bathroom and 2 separate toilets,"4  ,2 ",3,,,Sold under reservation,Paid parking and resident's parking permits,,431,1935,https://www.funda.nl/en/koop/amsterdam/appartement-88051444-postjeskade-155-3,Yes,Roof terrace present and balcony present,Yes,"NEFIT Topline HRC30 Compact (gas-fired combination boiler from 2012, in ownership)",,3 ,No,Yes (€ 202.00 per month),,Yes,Yes,,Upstairs apartment (double upstairs apartment), 202.00  ,,,,,,
1688,Available in consultation,275000,3716,,Resale,B 1.25  ,4,Electricity,,CH boiler,CH boiler,Double glazing,,4 ,74,Alongside a quiet road,1 separate toilet,"3  ,2 ",1,,,Under offer,Public parking,Flat roof covered with asphalt roofing,238,1983,https://www.funda.nl/en/koop/amsterdam/appartement-88060673-daniel-defoelaan-263,Yes,Balcony present,Yes,"Intergas (gas-fired from 2016, in ownership)",4,3 ,Yes,Yes (€ 177.58 per month),,Yes,Yes,Attached brick storage,Upstairs apartment (apartment), 177.58  ,,,,,,
1689,Available in consultation,995000,5958,"Bath, shower and toilet",Resale,,13,"Outdoor awning, elevator, mechanical ventilation and sliding door",Sun terrace,CH boiler,CH boiler,Double glazing,,6+ ,167,"Alongside park, sheltered location, in center and unobstructed surrounding view",1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Sold under reservation,,Flat roof covered with asphalt roofing,476,1991,https://www.funda.nl/en/koop/amsterdam/appartement-41313037-stadhouderskade-17-g,Yes,Roof terrace present,Yes,"NEFIT Aquapower (gas-fired combination boiler from 2010, in ownership)",,4 ,Yes,Yes,C ,Yes,Yes,,Mezzanine (apartment),,, 496  ,Underground parking and parking place,,,
1690,Available in consultation,590000,4538,"Bath, shower and toilet",Resale,A  ,,Electricity,Back garden,CH boiler,CH boiler,"Roof insulation, double glazing, energy efficient window, insulated walls and floor insulation","Single-family home, row house",4 ,130,"Alongside a quiet road, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"5  ,4 ",3,115,,Sold under reservation,Public parking,Shed roof covered with asphalt roofing and roof tiles,395,1996,https://www.funda.nl/en/koop/amsterdam/huis-42608205-liedekerkeplantsoen-44,,Roof terrace present,,"Intergas HR (gas-fired combination boiler from 2015, in ownership)",5,,,,,,,Attached wooden storage,,,,,,,Located at the west accessible via the rear,45 m² (9 meter deep and 5 meter broad)
1691,Available in consultation,485000,7578,"Bath, 2 showers and 2 toilets",Resale,A 0.99  ,9,,,CH boiler,CH boiler,Double glazing and energy efficient window,,"March 1, 2022",64,Alongside a quiet road and in residential district,2 bathrooms,"3  ,2 ",1,,,Under offer,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,203,1881,https://www.funda.nl/en/koop/amsterdam/appartement-42614426-wagenaarstraat-12-i,Yes,Balcony present,Yes,"HR Ketel (gas-fired, in ownership)",,2 ,Yes,Yes (€ 30.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 30.00  ,,,,,,
1692,Available in consultation,339000,8475,Shower,Resale,C  ,5,Mechanical ventilation and TV via cable,,CH boiler,CH boiler,Double glazing,,5 ,40,"Alongside a quiet road, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"2  ,1 ",1,,,Sold under reservation,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,124,1899,https://www.funda.nl/en/koop/amsterdam/appartement-42570481-blasiusstraat-104-d,Yes,Balcony present,Yes,"Intergas (gas-fired combination boiler from 2013, in ownership)",,3 ,Yes,Yes (€ 98.23 per month),,Yes,Yes,,Upstairs apartment (apartment), 98.23  ,,,,,,
1693,Available in consultation,325000,6915,Toilet,Resale,,5,TV via cable,,CH boiler,CH boiler,Double glazing,,6 ,47,Alongside a quiet road and in center,1 bathroom,"2  ,1 ",1,,,Sold under reservation,Paid parking,Gable roof covered with asphalt roofing,150,1929,https://www.funda.nl/en/koop/amsterdam/appartement-42695681-magalhaensstraat-16-2,Yes,Balcony present,Yes,"HR Intergas (gas-fired combination boiler from 2013, in ownership)",3,2 ,Yes,No,G ,Yes,Yes,,Upstairs apartment (apartment),,, 169  ,,,,
1694,Available in consultation,495000,3867,,Resale,A  ,6,Electricity,,CH boiler,CH boiler,Roof insulation and insulated walls,,2 ,128,In residential district and unobstructed surrounding view,,"5  ,3 ",1,,,Sold under reservation,Parking garage,Flat roof covered with asphalt roofing,386,2000,https://www.funda.nl/en/koop/amsterdam/appartement-88029290-jan-de-jonghkade-74,Yes,,Yes,"Gas-fired combination boiler, in ownership",6,7 ,Yes,Yes (€ 186.04 per month),,Yes,Yes,Built-in,Galleried apartment (apartment), 186.04  ,,,Parking place,1 ,,
1695,Available in consultation,1050000,8537,"Bath, 2 showers and toilet",Resale,A  ,2,Electricity,Back garden,"Complete floor heating, heat recovery unit and heat pump",Electrical boiler,"Roof insulation, double glazing, energy efficient window, insulated walls and floor insulation","Single-family home, corner house (dyke house)","March 11, 2022",123,"Alongside park, in residential district and unobstructed surrounding view",2 bathrooms and 1 separate toilet,"5  ,4 ",3,104,Protected townscape or village view (permit needed for alterations),Available,,Flat roof covered with asphalt roofing,445,1931,https://www.funda.nl/en/koop/amsterdam/huis-42637716-leeuwarderweg-74,,Balcony present,,,,,,,,,,Attached wooden storage,,,,,,9 ,Located at the east accessible via the rear,"39 m² (5,5 meter deep and 7 meter broad)"
1696,Available in consultation,695000,5000,"Bath, shower and 2 toilets",Resale,A 0.59  ,9,Electricity,Back garden and front garden,District heating,District heating,,"Single-family home, corner house",3 ,139,"Alongside park, alongside a quiet road, in residential district and unobstructed surrounding view",2 bathrooms and 1 separate toilet,"5  ,4 ",3,171,,Under offer,"Parking on gated property, parking on private property and public parking",Flat roof covered with asphalt roofing,417,2018,https://www.funda.nl/en/koop/amsterdam/huis-88904368-kleine-pimpernelstraat-88-pp,,Roof terrace present,,,,,,,,,,Detached wooden storage,,,, 18  ,,,Located at the south accessible via the rear,60 m² (6 meter deep and 10 meter broad)
1697,Available in consultation,390000,7800,Shower and toilet,Resale,G 2.00  ,2,TV via cable,,CH boiler,CH boiler,Double glazing,,2 ,50,"Alongside a quiet road, in residential district, freestanding location and unobstructed surrounding view",1 bathroom,"2  ,1 ",2,,,Available,Paid parking and public parking,Combination roof,171,1909,https://www.funda.nl/en/koop/amsterdam/appartement-42613842-spaarndammerstraat-30-h,Yes,Balcony present,Yes,"Gas-fired combination boiler, in ownership",,3 ,Yes,Yes (€ 145.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 145.00  ,,,,,,
1698,Available in consultation,500000,6757,Shower,Resale,E  ,8,Mechanical ventilation and TV via cable,,CH boiler,CH boiler,Double glazing,,3 ,74,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Available,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,199,1922,https://www.funda.nl/en/koop/amsterdam/appartement-42603789-borssenburgplein-6-1,Yes,Balcony present,Yes,"Vaillant (gas-fired combination boiler from 2010, in ownership)",,1 ,Yes,Yes (€ 144.25 per month),,Yes,Yes,,Upstairs apartment (apartment), 144.25  ,, 144  ,,,,
1699,Available in consultation,250000,4167,Shower and toilet,Resale,C 1.36  ,4,TV via cable,,CH boiler,CH boiler,Double glazing,,6+ ,60,Alongside a quiet road and in residential district,1 bathroom,"3  ,2 ",1,,,Available,"Paid parking, public parking and resident's parking permits",,188,1986,https://www.funda.nl/en/koop/amsterdam/appartement-41819377-bernard-shawsingel-250,Yes,Balcony present,Yes,"Gas-fired combination boiler, in ownership",,1 ,Yes,Yes (€ 70.00 per month),,Yes,Yes,Storage box,Upstairs apartment (apartment), 70.00  ,,,,,,
1700,Available in consultation,300000,3061,,Resale,A  ,6,Electricity,,CH boiler,CH boiler,Double glazing,,2 ,98,In residential district,1 separate toilet,"4  ,3 ",1,,,Under offer,Public parking,Flat roof covered with asphalt roofing,325,1984,https://www.funda.nl/en/koop/amsterdam/appartement-42619920-charlotte-brontestraat-221,Yes,Balcony present,Yes,"Intergas (gas-fired combination boiler from 2004, in ownership)",5,3 ,Yes,Yes (€ 136.61 per month),,Yes,Yes,Storage box,Upstairs apartment (apartment), 136.61  ,,,,,,
1702,Available in consultation,535000,6688,Bath and toilet,Resale,D  ,10,Outdoor awning and elevator,,Communal central heating,Central facility,,,4 ,80,In residential district and unobstructed surrounding view,1 bathroom and 1 separate toilet,"3  ,2 ",1,,With carpets and curtains,Sold under reservation,Resident's parking permits,Flat roof covered with asphalt roofing,215,1966,https://www.funda.nl/en/koop/amsterdam/appartement-42694761-kiefskamp-46,Yes,Balcony present,Yes,,8,2 ,Yes,Yes (€ 297.55 per month),,Yes,Yes,Storage box,Apartment with shared street entrance (apartment), 297.55  ,,,,,,
