,Annual meeting,Asking price,Asking price per m²,Balcony/roof garden,Bathroom facilities,Building insurance,Building type,CH boiler,Energy label,Exterior space attached to the building,Facilities,Heating,Hot water,Insulation,Listed since,Living area,Located at,Location,Maintenance plan,Number of bath rooms,Number of rooms,Number of stories,Periodic contribution,Registration with KvK,Reserve fund present,Specific,Status,Type apartment,Type of parking facilities,Volume in cubic meters,Year of construction,Back garden,Garden,Garden location,Kind of house,Other space inside the building,Type of garage,External storage space,Provisional energy label,Shed / storage,VVE (Owners Association) contribution,Type of roof,Plot size
1162,Yes,275000,3056,Balcony present,Shower,Yes,Resale property,,E  ,9,Electricity,Communal central heating,Electrical boiler (rental),,4 ,90,3 ,In residential district,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 257.00 per month),Yes,Yes,,Available,Galleried apartment (apartment),Public parking,313,1966,,,,,,,6,,Storage box, 257.00  ,Flat roof,
1163,Yes,292500,3799,Balcony present,Toilet,Yes,Resale property,"Remeha Avanta 28C (gas-fired combination boiler from 2007, in ownership)",C  ,8,Electricity,CH boiler,CH boiler,No insulation,4 ,77,Grou ,Alongside busy road and in residential district,Yes,1 bathroom,3 rooms (2 bedrooms),1,Yes (€ 132.00 per month),Yes,Yes,,Sold under reservation,Ground-floor apartment (apartment),Paid parking and resident's parking permits,250,1956,"123 m² (15,4 meter deep and 8 meter broad)",Back garden,Located at the northeast,,,,8,,Storage box, 132.00  ,Flat roof covered with asphalt roofing,
1164,No,325000,4276,,Bath and shower,Yes,Resale property,"Atag (gas-fired combination boiler from 2020, in ownership)",,,,CH boiler,CH boiler,Partly double glazed,7 ,76,Grou ,Alongside a quiet road and in residential district,No,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),1,Yes (€ 75.00 per month),Yes,Yes,,Under offer,Ground-floor apartment (apartment),,230,,,,,,,,11,G ,Detached brick storage, 75.00  ,Flat roof covered with asphalt roofing,
1165,No,995000,9299,Roof terrace present,Bath and toilet,No,Resale property,,A  ,59,Elevator and mechanical ventilation,CH boiler and complete floor heating,CH boiler,Double glazing,4 ,107,6 ,"In center, in residential district and unobstructed surrounding view",No,2 bathrooms and 1 separate toilet,3 rooms (2 bedrooms),1,No,No,No,Protected townscape or village view (permit needed for alterations),Available,Apartment with shared street entrance (apartment),Parking garage,318,2010,,,,,,Parking place,13,,Storage box,,Flat roof covered with asphalt roofing,
1166,Yes,425000,4474,,Shower,Yes,Resale property,"""Vaillant"" (gas-fired combination boiler from 2012, in ownership)",C  ,,TV via cable,CH boiler,CH boiler,Double glazing and floor insulation,2 ,95,Grou ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),1,Yes (€ 111.34 per month),Yes,Yes,,Sold under reservation,Ground-floor apartment,"Paid parking, public parking and resident's parking permits",275,1923,"81 m² (10,5 meter deep and 7,67 meter broad)",Back garden,Located at the east,,,,5,,Detached wooden storage, 111.34  ,Flat roof covered with asphalt roofing,
1167,,698000,3966,Balcony present,2 showers and 2 toilets,,Resale property,"Gas/wandketel ( combination boiler, in ownership)",D  ,13,Passive ventilation system and flue,CH boiler,CH boiler and electrical boiler,No insulation,3 ,176,,"Alongside a quiet road, sheltered location and in residential district",,2 bathrooms,5 rooms (3 bedrooms),3,,,,,Sold under reservation,,Public parking,572,1926,"42 m² (8,55 meter deep and 4,9 meter broad)",Back garden,Located at the west accessible via the rear,"Desirable residence/villa, row house",,,306,,Detached wooden storage,,Flat roof,95
1168,No,499000,2559,,,No,Resale property,,,,,,,,2 ,195,1 ,Alongside a quiet road,No,,6 rooms (5 bedrooms),1,No,No,No,,Available,Upstairs apartment,,500,1905,,,,,,,,G ,,,,
1169,Yes,335000,3454,,Shower and toilet,Yes,Resale property,"Remeha Avanta (gas-fired combination boiler from 2017, in ownership)",C  ,,TV via cable,CH boiler,CH boiler,Partly double glazed,2 ,97,Grou ,In residential district,No,1 bathroom,5 rooms (3 bedrooms),1,Yes (€ 100.00 per month),Yes,Yes,,Available,Ground-floor apartment,Public parking and resident's parking permits,329,1933,"65 m² (9,18 meter deep and 7,11 meter broad)",Back garden and front garden,Located at the southwest,,,,4,,Detached wooden storage, 100.00  ,Flat roof,
1170,,1895000,6016,Roof terrace present,"2 baths, 2 showers and toilet",,Resale property,"Gas-fired combination boiler, in ownership",G  ,14,Electricity,CH boiler and fireplace,CH boiler,,2 ,315,,"Alongside park, alongside a quiet road, In wooded surroundings, in residential district and unobstructed surrounding view",,2 bathrooms and 2 separate toilets,11 rooms (6 bedrooms),3,,,,With carpets and curtains,Sold under reservation,,Public parking,950,,"77 m² (9,57 meter deep and 8 meter broad)","Back garden, front garden and side garden",Located at the east accessible via the rear,"Villa, semi-detached residential property",16 ,Detached brick garage,28,,Detached brick storage,,Combination roof,460
1171,,499000,3838,Balcony present,,,Resale property,,A  ,5,Electricity,,,,2 ,130,,,,2 separate toilets,4 rooms (3 bedrooms),3,,,,,Under offer,,Parking on gated property and parking on private property,443,2007,,Back garden,,"Single-family home, row house",,,33,,Detached wooden storage,,,166
1172,Yes,1700000,11111,Balcony present,Bath and toilet,Yes,Resale property,,A+  ,6,Electricity,Complete floor heating and heat pump,Electrical boiler,"Roof insulation, triple glazed and insulated walls",6 ,153,3 ,In center and unobstructed surrounding view,Yes,2 bathrooms and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 215.78 per month),No,No,Protected townscape or village view (permit needed for alterations) and listed building (national monument),Available,Upstairs apartment (apartment),Resident's parking permits,672,1916,,,,,,,15,,Storage box, 215.78  ,Flat roof covered with asphalt roofing,
1173,Yes,2895000,11488,,,Yes,New property,,,55,Elevator and solar panels,Complete floor heating,,"Roof insulation, double glazing, energy efficient window, insulated walls, floor insulation and completely insulated",6+ ,252,5 ,"Alongside park, alongside a quiet road, In wooded surroundings and in residential district",Yes,,4 rooms (3 bedrooms),1,Yes (€ 0.00 per month),Yes,Yes,,Available,Penthouse (apartment),,756,2022,,,,,,,,,, 0.00  ,,
1174,,1590000,5427,Roof terrace present and balcony present,"Bath, 2 showers and toilet",,Resale property,,A  ,74,Electrical door and electricity,District heating and partial floor heating,Central facility,Completely insulated,6+ ,293,,"Alongside a quiet road, In wooded surroundings and in residential district",,2 bathrooms and 1 separate toilet,7 rooms (6 bedrooms),3,,,,,Sold under reservation,,Public parking,762,,420 m² (21 meter deep and 20 meter broad),Back garden,Located at the southwest,"Villa, detached residential property",23 ,Attached brick garage,,,Detached wooden storage,,Mansard roof,575
1175,No,225000,3879,,Bath,Yes,Resale property,"Intergas Kombi Kompakt HRE 28/24 (gas-fired combination boiler from 2016, in ownership)",F  ,4,Passive ventilation system,CH boiler,CH boiler,Double glazing,6 ,58,3 ,Alongside a quiet road and in residential district,No,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 50.00 per month),Yes,Yes,With carpets and curtains,Available,Residential property with shared street entrance (apartment with open entrance to street),"Paid parking, public parking and resident's parking permits",212,1926,,,,,1 ,,,,, 50.00  ,Flat roof,
1176,Yes,535000,5944,Balcony present,,Yes,Resale property,"Gas-fired combination boiler from 2022, in ownership",,,Passive ventilation system and TV via cable,CH boiler,CH boiler,Double glazing,2 ,90,2 ,In center,Yes,1 bathroom and 2 separate toilets,4 rooms (3 bedrooms),2,Yes,Yes,Yes,"Protected townscape or village view (permit needed for alterations), double occupancy possible and with carpets and curtains",Available,Upstairs apartment (apartment),Paid parking and resident's parking permits,300,1928,,,,,,,,G ,,,Gable roof covered with roof tiles,
1177,Yes,375000,6696,,,Yes,Resale property,"Gas-fired combination boiler from 2022, in ownership",B  ,,Mechanical ventilation,CH boiler,CH boiler,Energy efficient window,5 ,56,4 ,Alongside a quiet road and in residential district,Yes,,2 rooms (1 bedroom),1,Yes (€ 60.00 per month),Yes,No,Protected townscape or village view (permit needed for alterations),Available,Upstairs apartment (apartment),"Paid parking, public parking and resident's parking permits",160,1884,,,,,,,,,, 60.00  ,Gable roof covered with roof tiles,
1178,Yes,225000,4327,Balcony present,,Yes,Resale property,,D  ,7,"Elevator, mechanical ventilation, passive ventilation system and TV via cable",Communal central heating,,Partly double glazed and secondary glazing,4 ,52,9 ,"Alongside a quiet road, in residential district, unobstructed surrounding view and seaview",Yes,1 bathroom and 1 separate toilet,2 rooms (1 bedroom),1,Yes (€ 132.50 per month),Yes,Yes,Partly furnished with carpets and curtains,Sold under reservation,Galleried apartment (apartment),Public parking and resident's parking permits,161,1969,,,,,,,4,,Built-in, 132.50  ,Flat roof covered with asphalt roofing,
1179,Yes,199500,4071,Balcony present,Shower and toilet,Yes,Resale property,,,11,Elevator,Communal central heating,Electrical boiler (rental),Double glazing,3 ,49,5 ,"Alongside a quiet road, in residential district and unobstructed surrounding view",Yes,1 bathroom,2 rooms (1 bedroom),2,Yes (€ 225.90 per month),Yes,Yes,,Sold under reservation,Maisonnette (double upstairs apartment),Public parking,150,1961,,,,,,,3,E ,Storage box, 225.90  ,Flat roof covered with asphalt roofing,
1181,Yes,449000,4629,Balcony present,,Yes,Resale property,2022,,6,,CH boiler,,Double glazing,"March 2, 2022",97,2 ,,Yes,1 separate toilet,5 rooms (3 bedrooms),3,Yes (€ 80.00 per month),Yes,Yes,,Available,Upstairs apartment (double upstairs apartment),,353,1905,,,,,,,,G ,, 80.00  ,,
1182,No,550000,3691,Roof terrace present,Bath,Yes,Resale property,"Vailant HR (gas-fired combination boiler from 2017, in ownership)",C  ,57,Sliding door and TV via cable,CH boiler,CH boiler,No insulation,4 ,149,2 ,Alongside a quiet road and in residential district,No,1 bathroom and 2 separate toilets,5 rooms (4 bedrooms),3,Yes (€ 90.00 per month),Yes,Yes,With carpets and curtains,Sold under reservation,Upstairs apartment (apartment),"Paid parking, public parking and resident's parking permits",455,1935,,Sun terrace,Located at the southwest,,,,2,,Detached brick storage, 90.00  ,Gable roof covered with roof tiles,
1183,No,399000,4290,,Bath and shower,No,Resale property,"Gas-fired combination boiler, in ownership",D  ,,,CH boiler,CH boiler,,4 ,93,Grou ,Alongside a quiet road and in residential district,No,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),2,No,Yes,Yes,Protected townscape or village view (permit needed for alterations) and renovation project,Available,Ground-floor apartment (apartment),Paid parking and resident's parking permits,371,1890,"13 m² (3,8 meter deep and 3,34 meter broad)",Back garden,Located at the northwest,,,,,,,,Hipped roof covered with roof tiles,
1184,Yes,285000,3562,Balcony present,Shower,Yes,Resale property,"Intergas (gas-fired combination boiler from 2011, in ownership)",C  ,11,Electricity,CH boiler,CH boiler,Partly double glazed,6 ,80,2 ,On the edge of a forest and In wooded surroundings,Yes,1 bathroom and 1 separate toilet,4 rooms (1 bedroom),1,Yes (€ 160.00 per month),Yes,Yes,,Sold under reservation,Apartment with shared street entrance (apartment),Public parking,284,1955,,,,,,,16,,Built-in, 160.00  ,Gable roof covered with roof tiles,
1185,,1475000,5069,,,,Resale property,"Remeha (gas-fired combination boiler from 2009, in ownership)",F  ,10,,CH boiler,CH boiler,Partly double glazed,2 ,291,,"On the edge of a forest, alongside a quiet road, In wooded surroundings, in residential district and unobstructed surrounding view",,2 separate toilets,10 rooms (6 bedrooms),2,,,,Double occupancy possible and renovation project,Available,,"Paid parking, parking on private property, public parking and resident's parking permits",1089,1927,163 m² (15 meter deep and 10 meter broad),"Back garden, front garden and side garden",Located at the southeast,"Desirable residence/villa, corner house",16 ,Built-in,,,,,Hipped roof covered with roof tiles,365
1186,No,275000,3022,,Shower,No,Resale property,"Remeha Tzerra (gas-fired combination boiler, in ownership)",C  ,,,CH boiler,CH boiler,,5 ,91,Grou ,Alongside a quiet road,No,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),1,No,Yes,No,,Sold under reservation,Ground-floor apartment (apartment),"Paid parking, public parking and resident's parking permits",301,1934,"52 m² (6,58 meter deep and 7,87 meter broad)",Back garden,,,,,6,,Detached wooden storage,,,
1187,Yes,285000,4071,,Shower,Yes,Resale property,"Remeha Avanta HR (gas-fired combination boiler from 2017, in ownership)",C  ,8,"Electricity, heating and running water",CH boiler,CH boiler,,5 ,70,Grou ,Alongside a quiet road and in residential district,No,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 50.00 per month),Yes,Yes,,Sold under reservation,Ground-floor apartment,"Paid parking, public parking and resident's parking permits",228,1941,"72 m² (10,5 meter deep and 6,88 meter broad)",Back garden and front garden,Located at the northwest,,,,24,,Detached brick storage, 50.00  ,Gable roof covered with roof tiles,
1188,No,485000,5160,Balcony present,Bath,No,Resale property,"Intergas (gas-fired combination boiler from 2021, in ownership)",G  ,5,Mechanical ventilation,CH boiler,CH boiler,Roof insulation and energy efficient window,"March 4, 2022",94,2 ,In residential district,No,1 bathroom and 2 separate toilets,5 rooms (3 bedrooms),2,No,No,No,,Under offer,Upstairs apartment (apartment),Paid parking,310,1932,,,,,1 ,,,,, 200.00  ,Gable roof covered with roof tiles,
1189,Yes,599000,4608,Balcony present,Toilet,Yes,Resale property,,,15,"Optical fibre, elevator, mechanical ventilation and sliding door","District heating, complete floor heating and heat recovery unit",,"Roof insulation, double glazing, energy efficient window, insulated walls and completely insulated",2 ,130,7 ,,Yes,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 155.82 per month),Yes,Yes,With carpets and curtains,Available,Galleried apartment (apartment),Paid parking and parking garage,425,2020,,,,,,Parking place,19,,Storage box, 155.82  ,Flat roof covered with asphalt roofing,
1190,Yes,1249000,5502,Roof terrace present,Shower and toilet,Yes,Resale property,"Gas-fired from 2018, in ownership",A  ,13,TV via cable,CH boiler,CH boiler,No insulation,3 ,227,1 ,In center,Yes,1 bathroom and 2 separate toilets,5 rooms (1 bedroom),4,Yes (€ 400.00 per month),Yes,Yes,,Sold under reservation,Maisonnette (apartment),,840,1915,"137 m² (16,4 meter deep and 8,38 meter broad)",Back garden,Located at the northeast,,,,10,,Detached wooden storage, 400.00  ,Flat roof covered with asphalt roofing,
1191,Yes,345000,4423,Balcony present,Bath and toilet,Yes,Resale property,,D  ,5,,Communal central heating,Central facility,Roof insulation and double glazing,"March 4, 2022",78,10 ,On the edge of a forest,Yes,1 bathroom,2 rooms (1 bedroom),12,Yes (€ 295.00 per month),Yes,Yes,,Available,Galleried apartment (apartment),Parking garage and resident's parking permits,240,1979,,,,,,,,,, 295.00  ,Flat roof covered with asphalt roofing,
1192,Yes,475000,4130,Balcony present,,Yes,Resale property,"Remeha Tzerra (gas-fired combination boiler from 2018, in ownership)",D  ,5,TV via cable,CH boiler,CH boiler,Double glazing,3 ,115,1 ,In residential district,Yes,1 bathroom and 1 separate toilet,5 rooms (3 bedrooms),2,Yes (€ 240.00 per month),Yes,No,Protected townscape or village view (permit needed for alterations),Sold under reservation,Upstairs apartment (double upstairs apartment),Paid parking and resident's parking permits,425,1929,,,,,,,,,, 240.00  ,Flat roof covered with asphalt roofing,
1193,Yes,325000,3963,,Bath and shower,Yes,Resale property,"Intergas, HR (gas-fired combination boiler from 2012, in ownership)",C  ,,,CH boiler,CH boiler,,6 ,82,Grou ,In residential district,No,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 100.00 per month),Yes,Yes,,Under offer,Ground-floor apartment (open shared street entrancet),"Paid parking, public parking and resident's parking permits",268,1927,"53 m² (7,71 meter deep and 6,91 meter broad)",Back garden,Located at the northwest,,,,2,,Outside plastic storage cabinet, 100.00  ,Flat roof covered with asphalt roofing,
1194,Yes,345000,4259,Balcony present,Bath,Yes,Resale property,,,4,Electricity,Communal central heating,Central facility,Triple glazed and partly double glazed,2 ,81,2 ,In residential district and unobstructed surrounding view,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 261.00 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations) and listed building (national monument),Sold under reservation,Upstairs apartment (apartment),"Paid parking, public parking and resident's parking permits",300,1922,,,,,,,19,,Storage box, 261.00  ,Flat roof,
1195,Yes,250000,2907,Balcony present,Shower,Yes,Resale property,,B  ,5,Electricity,Communal central heating,Electrical boiler (rental),Partly double glazed,2 ,86,4 ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),7,Yes (€ 205.29 per month),Yes,Yes,,Under offer,Galleried apartment (apartment),Parking on private property,265,1966,,,,,,Parking place,5,,Storage box, 205.29  ,Flat roof covered with asphalt roofing,
1196,Yes,349500,3361,Balcony present,,Yes,Resale property,"Gas-fired combination boiler, in ownership",D  ,8,Elevator,CH boiler,CH boiler,Partly double glazed,6+ ,104,2 ,In residential district and unobstructed surrounding view,No,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),1,Yes (€ 175.00 per month),Yes,Yes,,Sold under reservation,Apartment with shared street entrance (apartment),Public parking,319,,,,,,1 ,,19,,Storage box, 175.00  ,,
1197,Yes,1395000,4471,Roof terrace present and balcony present,Bath,Yes,Resale property,"Remeha (gas-fired combination boiler from 2021, in ownership)",,24,Mechanical ventilation,CH boiler,CH boiler,"Roof insulation, insulated walls and floor insulation",3 ,312,1 ,"Alongside park, in residential district and unobstructed surrounding view",No,2 bathrooms and 3 separate toilets,12 rooms (6 bedrooms),3,Yes,Yes,Yes,Monumental building,Available,Upstairs apartment (double upstairs apartment with open entrance to street),Paid parking and resident's parking permits,1267,1896,,,,,1 ,,,G ,,,,
1198,No,450000,4500,Roof terrace present,"Bath, shower and toilet",Yes,Resale property,"Gas-fired combination boiler, in ownership",,34,Mechanical ventilation and TV via cable,CH boiler,CH boiler,"Roof insulation, double glazing and insulated walls","March 11, 2022",100,2 ,Sheltered location and in center,No,1 bathroom,5 rooms (3 bedrooms),3,No,Yes,No,Protected townscape or village view (permit needed for alterations),Available,Upstairs apartment (apartment),"Paid parking, public parking and resident's parking permits",317,1905,,,,,,,1,G ,,,Gable roof covered with roof tiles,
1199,No,649500,3913,,Bath,Yes,Resale property,"2019, in ownership",A  ,,"Mechanical ventilation, passive ventilation system and TV via cable",CH boiler and complete floor heating,CH boiler,"Double glazing, floor insulation and completely insulated",3 ,166,1 ,Alongside a quiet road and in residential district,Yes,1 bathroom and 2 separate toilets,4 rooms (2 bedrooms),2,No,No,Yes,,Available,Double ground-floor apartment (apartment),Paid parking and resident's parking permits,565,1896,15 m² (5 meter deep and 3 meter broad),Back garden,Located at the northeast,,,,,,,,Flat roof covered with asphalt roofing,
1200,Yes,275000,2331,Balcony present,Shower and toilet,Yes,Resale property,"Atag (gas-fired combination boiler from 2018, in ownership)",D 2.09  ,9,Electricity,CH boiler,CH boiler,Partly double glazed,6 ,118,3 ,In residential district and unobstructed surrounding view,Yes,1 bathroom and 1 separate toilet,5 rooms (4 bedrooms),3,Yes (€ 186.00 per month),Yes,Yes,,Sold under reservation,Maisonnette (apartment),Public parking and parking garage,384,1981,,,,,,Underground parking and parking place,6,,Storage box, 186.00  ,Gable roof covered with roof tiles,
1201,Yes,275000,3716,Balcony present,Shower,Yes,Resale property,"Kombi Kompakt HReco 36 (gas-fired combination boiler from 2016, in ownership)",A  ,9,Electricity,CH boiler,CH boiler,Double glazing,7 ,74,1 ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,5 rooms (3 bedrooms),1,Yes (€ 134.95 per month),Yes,Yes,,Sold under reservation,Upstairs apartment (apartment),Public parking,242,1979,,,,,,,8,,Storage box, 134.95  ,Flat roof covered with asphalt roofing,
1202,Yes,189500,3644,Balcony present,Shower,Yes,Resale property,,E  ,6,Electricity,Communal central heating,Gas water heater (rental),,5 ,52,9 ,In residential district and unobstructed surrounding view,Yes,1 bathroom and 1 separate toilet,2 rooms (1 bedroom),1,Yes (€ 154.44 per month),Yes,Yes,,Sold under reservation,Galleried apartment,Parking on private property and public parking,172,1973,,,,,3 ,,,,Built-in, 154.44  ,Flat roof covered with asphalt roofing,
1203,,1145000,4337,Balcony present,Bath and toilet,,Resale property,Gas-fired combination boiler from 2015,E  ,5,,CH boiler,CH boiler,"Roof insulation, double glazing and insulated walls","March 7, 2022",264,,"Alongside busy road, in residential district and freestanding location",,2 bathrooms and 2 separate toilets,8 rooms (6 bedrooms),3,,,,,Available,,"Paid parking, parking on private property and resident's parking permits",1172,1906,"88 m² (14,6 meter deep and 6,05 meter broad)",Back garden and front garden,Located at the northeast,"Desirable residence/villa, corner house",37 ,Attached brick garage,4,,Detached wooden storage,,,284
1204,Yes,337500,3590,,,Yes,Resale property,"Gas-fired combination boiler, in ownership",C  ,,Electricity,CH boiler,CH boiler,Double glazing,2 ,94,Grou ,"In residential district, freestanding location and unobstructed surrounding view",Yes,1 bathroom and 1 separate toilet,3 rooms (3 bedrooms),3,Yes (€ 61.00 per month),Yes,Yes,,Sold under reservation,Ground-floor apartment (apartment),Public parking and resident's parking permits,327,1937,"54 m² (7 meter deep and 7,68 meter broad)",Back garden and front garden,Located at the north,,,,7,,Detached brick storage, 61.00  ,,
1205,Yes,2895000,11488,,,Yes,New property,,,55,Elevator and solar panels,Complete floor heating,,"Roof insulation, double glazing, energy efficient window, insulated walls, floor insulation and completely insulated",6+ ,252,5 ,"Alongside park, alongside a quiet road, In wooded surroundings and in residential district",Yes,,4 rooms (3 bedrooms),1,Yes (€ 0.00 per month),Yes,Yes,,Available,Penthouse (apartment),,756,2022,,,,,,,,,, 0.00  ,,
1206,Yes,410000,3981,,,Yes,Resale property,"Intergas (gas-fired combination boiler from 2010, in ownership)",A  ,16,"Outdoor awning, elevator, mechanical ventilation, passive ventilation system and solar collectors",CH boiler,CH boiler,Completely insulated,"March 7, 2022",103,3 ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes,Yes,Yes,,Available,Upstairs apartment (apartment),Parking on gated property,332,2010,,,,,,,4,,Built-in,,Flat roof covered with asphalt roofing and roof tiles,
1207,Yes,540000,3600,Balcony present,,Yes,Resale property,"Nefit (gas-fired combination boiler from 2017, in ownership)",A  ,11,Mechanical ventilation and TV via cable,CH boiler,CH boiler,Completely insulated,6 ,150,1 ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),1,Yes (€ 206.00 per month),Yes,Yes,Partly furnished with carpets and curtains,Available,Apartment with shared street entrance,Parking on private property and public parking,603,1924,,,,,,Parking place,,,, 206.00  ,Gable roof covered with roof tiles,
1208,Yes,275000,2619,Balcony present,Shower and toilet,Yes,Resale property,"Agpo Ferroli (gas-fired combination boiler, in ownership)",C  ,8,Electricity,CH boiler,CH boiler,Double glazing,5 ,105,2 ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,5 rooms (4 bedrooms),2,Yes (€ 163.61 per month),Yes,Yes,,Sold under reservation,Upstairs apartment (apartment),"Paid parking, public parking and resident's parking permits",377,1991,,,,,,,6,,Storage box, 163.61  ,Flat roof,
1209,Yes,289500,2262,Roof terrace present and balcony present,Bath and shower,Yes,Resale property,"Remeha (gas-fired combination boiler from 2011, in ownership)",F  ,14,Mechanical ventilation and TV via cable,CH boiler,CH boiler,Partly double glazed,3 ,128,2 ,"Alongside a quiet road, in residential district, freestanding location and unobstructed surrounding view",No,1 bathroom and 1 separate toilet,5 rooms (3 bedrooms),2,Yes (€ 90.00 per month),Yes,No,,Sold under reservation,Maisonnette (apartment with open entrance to street),Paid parking and resident's parking permits,440,1938,,,,,,,4,,Detached brick storage, 90.00  ,Gable roof,
1210,Yes,250000,2660,,Shower,Yes,Resale property,,D  ,10,Electricity,Communal central heating,Electrical boiler (rental),Partly double glazed,2 ,94,3 ,In residential district,Yes,1 bathroom,5 rooms (4 bedrooms),1,Yes (€ 196.33 per month),Yes,Yes,,Under offer,Galleried apartment (apartment),Resident's parking permits,290,1970,,,,,,,6,,Built-in, 196.33  ,Flat roof covered with asphalt roofing,
1211,Yes,239000,3230,Balcony present,,No,Resale property,Gas-fired,,3,,CH boiler,CH boiler,Partly double glazed,3 ,74,1 ,Alongside busy road,No,1 separate toilet,4 rooms (3 bedrooms),1,Yes,Yes,No,,Available,Residential property with shared street entrance (apartment),Paid parking and public parking,215,1932,,,,,,,,G ,,,Flat roof covered with asphalt roofing,
1213,Yes,495000,5440,,Shower,Yes,Resale property,"Intergas HRE (gas-fired combination boiler from 2021, in ownership)",C  ,9,Mechanical ventilation,CH boiler,CH boiler,"Triple glazed, mostly double glazed and energy efficient window",3 ,91,Grou ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 87.28 per month),Yes,No,Partly furnished with carpets and curtains,Under offer,Ground-floor apartment (apartment),"Paid parking, public parking and resident's parking permits",302,,"152 m² (16,8 meter deep and 9,02 meter broad)",Back garden and front garden,Located at the east,,1 ,,19,,Storage box, 87.28  ,Gable roof,
1214,Yes,575000,3710,Balcony present and french balcony present,Shower and toilet,Yes,Resale property,"Vaillant Ecotec Plus VHR (gas-fired combination boiler from 2019, in ownership)",D  ,35,,CH boiler,CH boiler,Roof insulation and partly double glazed,3 ,155,2 ,Alongside a quiet road and in residential district,No,1 bathroom and 1 separate toilet,7 rooms (4 bedrooms),2,Yes (€ 103.00 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations),Sold under reservation,Upstairs apartment (double upstairs apartment),"Paid parking, public parking and resident's parking permits",597,1905,,Sun terrace,Located at the south,,,,,,, 103.00  ,Combination roof covered with asphalt roofing and slate,
1215,Yes,250000,3333,Balcony present,Shower and toilet,Yes,Resale property,"Remeha ( combination boiler from 2018, in ownership)",,4,Sliding door,CH boiler,CH boiler,Partly double glazed,3 ,75,2 ,,Yes,1 bathroom,3 rooms (2 bedrooms),2,Yes (€ 60.00 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations) and with carpets and curtains,Available,Maisonnette (double upstairs apartment),Paid parking and resident's parking permits,290,1937,,Front garden,,,5 ,,,G ,, 60.00  ,Hip roof covered with roof tiles,
1216,Yes,389000,4095,Balcony present,Shower,Yes,Resale property,"Remeha (gas-fired combination boiler from 2011, in ownership)",D  ,4,Skylight and TV via cable,CH boiler,CH boiler,Double glazing,"March 7, 2022",95,3 ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 75.00 per month),Yes,Yes,,Available,Upstairs apartment (apartment with open entrance to street),"Paid parking, public parking and resident's parking permits",330,1934,,,,,,,,,, 75.00  ,Flat roof covered with asphalt roofing,
1217,Yes,249500,4798,,"Bath, shower and toilet",Yes,Resale property,"Gas-fired combination boiler from 2018, in ownership",D  ,,,CH boiler,CH boiler,,3 ,52,Grou ,,Yes,1 bathroom,2 rooms (1 bedroom),1,Yes (€ 45.00 per month),Yes,Yes,,Under offer,Ground-floor apartment (apartment),,235,1850,"42 m² (0,01 meter deep and 0,01 meter broad)",Back garden,Located at the south,,,,,,, 45.00  ,,
1218,Yes,725000,5292,Balcony present,Bath and toilet,Yes,Resale property,"Remeha (gas-fired combination boiler from 2018, in ownership)",A  ,27,Elevator and TV via cable,CH boiler,CH boiler,Double glazing,2 ,137,1 ,,Yes,2 bathrooms and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 222.67 per month),Yes,Yes,,Under offer,Apartment with shared street entrance (apartment),"Paid parking, public parking and resident's parking permits",485,1919,,,,,,,24,,Built-in, 222.67  ,,
